episode,epReward,cumReward,cumRegret,empRegret
10,7.18,65.10,12.18,20.48
20,8.71,149.59,15.43,21.58
30,11.93,232.52,23.29,24.22
40,10.58,313.53,26.90,28.80
50,8.58,388.43,30.50,39.48
60,11.40,475.01,30.50,38.48
70,12.37,574.31,30.50,24.77
80,10.47,656.88,30.50,27.78
90,2.38,732.15,35.52,38.09
100,7.90,811.02,35.52,44.80
200,7.56,1677.78,42.61,33.87
300,9.24,2534.34,42.61,33.14
400,9.85,3326.98,53.31,96.32
500,9.88,4224.40,56.52,54.73
600,8.42,5073.53,59.87,61.42
700,8.26,5948.86,63.23,41.92
800,6.46,6797.45,65.03,49.15
900,8.50,7624.55,65.03,77.87
1000,9.85,8479.73,68.25,78.52
2000,4.02,17058.12,71.46,58.38
3000,9.49,25490.73,71.46,184.02
4000,8.23,34055.32,77.89,177.67
5000,7.94,42699.78,77.89,91.46
6000,10.65,51312.57,81.10,36.92
7000,9.27,59937.01,81.10,-29.27
8000,10.53,68503.03,81.10,-37.05
9000,9.15,77069.18,81.10,-44.95
10000,11.35,85617.69,81.10,-35.21
20000,10.79,170980.14,88.77,184.82
30000,7.90,255778.34,96.81,969.10
40000,9.75,341468.92,96.81,861.01
50000,8.60,427455.33,100.03,457.07
60000,6.39,513157.74,104.48,337.15
